('daw', 'god; the sun', 'n')
('soawm', 'salt', 'n')
('so', 'salt (root)', 'n')
('sot', 'to preserve; to salt; to survive', 'v')
('soipat', 'to cry', 'v')
('isthawk', 'wooded mountain; jagged mountain', 'n')
('ipistuk', 'smooth mountain (i.e. granite); glacier', 'n')
('ipica', 'lake', 'n')
('ipix', 'river', 'n')
('ipimi', 'standing water; swamp', 'n')
('upix', 'body of water big enough for currents/tides', 'n')
('ehawtamipa', 'road; path; current; flow', 'n')
('bawtawk', 'flora', 'n')
('bawk', 'plant (small)', 'n')
('awx', 'flower', 'n')
('bawx', 'fruit (edible, usually from a tree)', 'n')
('bawmi', 'grass; cover crop', 'n')
('bawmitawk', 'leaf', 'n')
('tanawk', 'bark', 'n')
('nbawtawk', 'seed', 'n')
('tawk', 'root; branch; stick', 'n')
('tantawk', 'tree', 'n')
('bawms', 'house plant; small cultivated plant', 'n')
('tanaw', 'home', 'n')
('dawtanaw', 'sky', 'n')
('ndawtanaw', 'fog', 'n')
('ipidawtan', 'rain', 'n')
('dawmi', 'star', 'n')
('awshix', 'wind', 'n')
('eawoo', 'night', 'n')
('awoo', 'day', 'n')
('hawedaw', 'year', 'n')
('eudaw', 'the big picture; the meaning of life; peace; purpose; the grand design', 'n')
('shepawt', 'to nourish; to heal; to feed; to provide', 'v')
('uceu', 'you', 'pn')
('diceu', 'yours', 'pn')
('usteu', 'me', 'n')
('disteu', 'mine', 'pn')
('tanak', 'town', 'n')
('oehawnak', 'frontier; undiscovered/unexplored land', 'n')
('-ipa', 'need; must; have got to (V suff)', 'v suff')
('ucesteu', 'we (exclusive)', 'pn')
('uste', 'we (royal)', 'pn')
('dawa', 'right (correct)', 'adj')
('-na', 'no', 'suff')
('n-', 'not; anti', 'n pre')
('n-', 'inverse of verb', 'v pre')
('io', 'and', 'conj')
('oi', 'or', 'conj')
('sti', 'if', 'conj')
('di', 'because', 'conj')
('en', 'in', 'prep')
('awn', 'with', 'prep')
('naw', 'at; near', 'prep')
('bi', 'this', 'dem')
('be', 'that', 'dem')
('ji', 'here', 'loc')
('je', 'there', 'loc')
('uc', 'who', '')
('oaw', 'what', '')
('cawma', 'how', '')
('doth', 'time', 'n')
('oth', 'when', '')
('ip', 'where', '')
('euca', 'twin', 'n')
('anusi', 'peace', 'n')
('scok', 'any bird', 'n')
('ucauct', 'to trade', 'v')
('ucaucaw', 'trader', 'n')
('ipipawems', 'a rocky creek', 'n')
('ntanipi', 'island', 'n')
('nawk', 'rose', 'n')
('scawk', 'edible bird; hunted bird', 'n')
('awmat', 'to say truth; to reveal; to uncover; to lift up', 'v')
('gawt', 'to help', 'v')
('otchek', 'woodchuck; groundhog', 'n')
('awkawx', 'food (semantic field), a piece/unit of food', 'n')
('sokaw', 'salted meat (usually jerky)', 'n')
('kaw', 'meat (animal)', 'n')
